B1=0x08 B2=0xff B3=0xff LB=0 MB=0 RB=0 XOV=0 X=255 YOV=0 Y=255
B1=0x08 B2=0xd0 B3=0xc2 LB=0 MB=0 RB=0 XOV=0 X=208 YOV=0 Y=194
B1=0x08 B2=0x9b B3=0xff LB=0 MB=0 RB=0 XOV=0 X=155 YOV=0 Y=255
B1=0x08 B2=0x99 B3=0xff LB=0 MB=0 RB=0 XOV=0 X=153 YOV=0 Y=255
B1=0x18 B2=0xeb B3=0xff LB=0 MB=0 RB=0 XOV=0 X=-21 YOV=0 Y=255
B1=0x18 B2=0x9a B3=0xe8 LB=0 MB=0 RB=0 XOV=0 X=-102 YOV=0 Y=232
B1=0x18 B2=0x01 B3=0xff LB=0 MB=0 RB=0 XOV=0 X=-255 YOV=0 Y=255
B1=0x18 B2=0x74 B3=0x41 LB=0 MB=0 RB=0 XOV=0 X=-140 YOV=0 Y=65
B1=0x18 B2=0x01 B3=0x0c LB=0 MB=0 RB=0 XOV=0 X=-255 YOV=0 Y=12
B1=0x38 B2=0x01 B3=0xb2 LB=0 MB=0 RB=0 XOV=0 X=-255 YOV=0 Y=-78
B1=0x38 B2=0x29 B3=0x84 LB=0 MB=0 RB=0 XOV=0 X=-215 YOV=0 Y=-124
B1=0x38 B2=0x90 B3=0x6b LB=0 MB=0 RB=0 XOV=0 X=-112 YOV=0 Y=-149
B1=0x28 B2=0x00 B3=0x5d LB=0 MB=0 RB=0 XOV=0 X=0 YOV=0 Y=-163
B1=0x28 B2=0xff B3=0x01 LB=0 MB=0 RB=0 XOV=0 X=255 YOV=0 Y=-255
B1=0x28 B2=0xff B3=0x2e LB=0 MB=0 RB=0 XOV=0 X=255 YOV=0 Y=-210
B1=0x28 B2=0xff B3=0x01 LB=0 MB=0 RB=0 XOV=0 X=255 YOV=0 Y=-255
B1=0x28 B2=0xff B3=0x71 LB=0 MB=0 RB=0 XOV=0 X=255 YOV=0 Y=-143
B1=0x28 B2=0xff B3=0xc5 LB=0 MB=0 RB=0 XOV=0 X=255 YOV=0 Y=-59
B1=0x28 B2=0xff B3=0xe7 LB=0 MB=0 RB=0 XOV=0 X=255 YOV=0 Y=-25
B1=0x08 B2=0xff B3=0x1a LB=0 MB=0 RB=0 XOV=0 X=255 YOV=0 Y=26
